    7.1708  2  1   24.3133   14.9704    8.0925    0.0000    1.3481    0.8381    0.0244    0.0094    5.2974    4.4661  0.3431E+03  0.1404E+04 -0.1754E-06 -0.5919E-08  0.2168E+04  0.000
    7.1717  2  1   24.3132   14.9704    8.0016    0.0000    1.3816    0.8381    0.0264    0.0094    5.2994    4.4661  0.3037E+03  0.1404E+04 -0.1733E-06 -0.5914E-08  0.2168E+04  0.000
    7.1725  2  1   24.3119   14.9704    7.9949    0.0000    1.4332    0.8381    0.0297    0.0094    5.3076    4.4661  0.2523E+03  0.1404E+04 -0.1564E-05 -0.5199E-08  0.2168E+04  0.000
    7.1734  2  1   24.3105   14.9704    7.9718    0.0000    1.4862    0.8381    0.0335    0.0094    5.3155    4.4662  0.2072E+03  0.1404E+04 -0.1631E-05 -0.4958E-08  0.2168E+04  0.000
    7.1742  2  1   24.3090   14.9704    7.8974    0.0000    1.5449    0.8382    0.0384    0.0094    5.3216    4.4662  0.1652E+03  0.1404E+04 -0.1679E-05 -0.4653E-08  0.2168E+04  0.000
    7.1751  2  1   24.3077   14.9704    7.8347    0.0000    1.6052    0.8382    0.0441    0.0094    5.3271    4.4662  0.1303E+03  0.1404E+04 -0.1618E-05 -0.4332E-08  0.2168E+04  0.000
    7.1759  2  1   24.3064   14.9704    7.8040    0.0000    1.6705    0.8382    0.0512    0.0094    5.3309    4.4662  0.1004E+03  0.1404E+04 -0.1550E-05 -0.3937E-08  0.2168E+04  0.000
    7.1767  2  1   24.3051   14.9704    7.7756    0.0000    1.7411    0.8382    0.0603    0.0094    5.3345    4.4663  0.7538E+02  0.1404E+04 -0.1461E-05 -0.3442E-08  0.2168E+04  0.000
    7.1776  2  1   24.3040   14.9704    7.7435    0.0000    1.8197    0.8383    0.0722    0.0094    5.3379    4.4663  0.5451E+02  0.1403E+04 -0.1368E-05 -0.2792E-08  0.2168E+04  0.000
    7.1784  2  1   24.3029   14.9704    7.6840    0.0000    1.9054    0.8383    0.0880    0.0094    5.3392    4.4663  0.3800E+02  0.1403E+04 -0.1266E-05 -0.1912E-08  0.2168E+04  0.000
